overall,asin,reviewerID,cluster,brand,highlight,asin2,reviewerID2,main_suggestions,second_suggestions
5.0,0001844423,A1D2C0WDCSHUWZ,2,Visit Amazon's C.S. Lewis Page,0,1,1,"{'0001844423', '0003302245', '045141411X', '0545123267', '0007284241', '1477809732', '0140431179', '0007350961', 'B00A9WRH3M', '0142406635'}","{'0001844423', '0003302245', '045141411X', '0545123267', '0007284241', '1477809732', '0140431179', '0007350961', 'B00A9WRH3M', '0142406635'}"
4.0,0001844423,A96K1ZGW56S2I,1,Visit Amazon's C.S. Lewis Page,0,1,2,"{'0001844423', '0003302245', '045141411X', '0545123267', '0007284241', '1477809732', '0140431179', '0007350961', 'B00A9WRH3M', '0142406635'}","{'0001844423', '0003302245', '045141411X', '0545123267', '0007284241', '1477809732', '0140431179', '0007350961', 'B00A9WRH3M', '0142406635'}"
5.0,0001844423,A1D2C0WDCSHUWZ,2,Visit Amazon's C.S. Lewis Page,0,1,1,"{'0001844423', '0003302245', '045141411X', '0545123267', '0007284241', '1477809732', '0140431179', '0007350961', 'B00A9WRH3M', '0142406635'}","{'0001844423', '0003302245', '045141411X', '0545123267', '0007284241', '1477809732', '0140431179', '0007350961', 'B00A9WRH3M', '0142406635'}"
5.0,0001048767,A1D2C0WDCSHUWZ,2,Visit Amazon's William Shakespeare Page,0,2,1,"{'0003302245', '0545123267', '0007284241', '1477809732', '0099664313', '0140434917', '0061351415', '0001048767', '0140431179', '0142406635'}","{'0003302245', '0545123267', '0007284241', '1477809732', '0099664313', '0140434917', '0061351415', '0001048767', '0140431179', '0142406635'}"
5.0,0001048767,A2YXRT2XIJIO57,2,Visit Amazon's William Shakespeare Page,1,2,3,"{'0003302245', '0545123267', '0007284241', '1477809732', '0099664313', '0140434917', '0061351415', '0001048767', '0140431179', '0142406635'}","{'0003302245', '0545123267', '0007284241', '1477809732', '0099664313', '0140434917', '0061351415', '0001048767', '0140431179', '0142406635'}"
5.0,0001048767,A55ER33W947XU,2,Visit Amazon's William Shakespeare Page,0,2,4,"{'0003302245', '0545123267', '0007284241', '1477809732', '0099664313', '0140434917', '0061351415', '0001048767', '0140431179', '0142406635'}","{'0003302245', '0545123267', '0007284241', '1477809732', '0099664313', '0140434917', '0061351415', '0001048767', '0140431179', '0142406635'}"
5.0,0001048767,A55ER33W947XU,2,Visit Amazon's William Shakespeare Page,0,2,4,"{'0003302245', '0545123267', '0007284241', '1477809732', '0099664313', '0140434917', '0061351415', '0001048767', '0140431179', '0142406635'}","{'0003302245', '0545123267', '0007284241', '1477809732', '0099664313', '0140434917', '0061351415', '0001048767', '0140431179', '0142406635'}"
5.0,0001048767,A1D2C0WDCSHUWZ,2,Visit Amazon's William Shakespeare Page,0,2,1,"{'0003302245', '0545123267', '0007284241', '1477809732', '0099664313', '0140434917', '0061351415', '0001048767', '0140431179', '0142406635'}","{'0003302245', '0545123267', '0007284241', '1477809732', '0099664313', '0140434917', '0061351415', '0001048767', '0140431179', '0142406635'}"
5.0,0001048767,A1D2C0WDCSHUWZ,2,Visit Amazon's William Shakespeare Page,0,2,1,"{'0003302245', '0545123267', '0007284241', '1477809732', '0099664313', '0140434917', '0061351415', '0001048767', '0140431179', '0142406635'}","{'0003302245', '0545123267', '0007284241', '1477809732', '0099664313', '0140434917', '0061351415', '0001048767', '0140431179', '0142406635'}"
5.0,0001048767,A1D2C0WDCSHUWZ,2,Visit Amazon's William Shakespeare Page,0,2,1,"{'0003302245', '0545123267', '0007284241', '1477809732', '0099664313', '0140434917', '0061351415', '0001048767', '0140431179', '0142406635'}","{'0003302245', '0545123267', '0007284241', '1477809732', '0099664313', '0140434917', '0061351415', '0001048767', '0140431179', '0142406635'}"
